ex:h	c:Light	c:CO2	c:Temperature	c:DaylightHours	c:T_b	c:Thermaltime
0.0	50	390	21.5	12	3	0.77083
1.0	90	380	22.0	12	3	0.79167
2.0	98	375	21.8	12	3	0.78333
3.0	103	372	21.7	12	3	0.77917
4.0	100	370	21.6	12	3	0.775
5.0	98	372	21.5	12	3	0.77083
6.0	102	370	21.2	12	3	0.75833
7.0	97	373	21.8	12	3	0.78333
8.0	103	372	21.6	12	3	0.775
9.0	96	372	21.5	12	3	0.77083
10.0	100	380	21.0	12	3	0.75
11.0	50	390	21.4	12	3	0.76667
12.0	0	392	20.5	12	3	0.72917
13.0	0	391	20.9	12	3	0.74583
14.0	0	390	21.0	12	3	0.75
15.0	0	390	21.1	12	3	0.75417
16.0	0	390	21.0	12	3	0.75
17.0	0	390	20.8	12	3	0.74167
18.0	0	390	21.1	12	3	0.75417
19.0	0	392	21.3	12	3	0.7625
20.0	0	390	21.2	12	3	0.75833
21.0	0	392	21.1	12	3	0.75417
22.0	0	391	21.1	12	3	0.75417
23.0	0	393	21.0	12	3	0.75
24.0	50	390	21.5	12	3	0.77083
25.0	90	380	22.0	12	3	0.79167
26.0	98	375	21.8	12	3	0.78333
27.0	103	372	21.7	12	3	0.77917
28.0	100	370	21.6	12	3	0.775
29.0	98	372	21.5	12	3	0.77083
30.0	102	370	21.2	12	3	0.75833
31.0	97	373	21.8	12	3	0.78333
32.0	103	372	21.6	12	3	0.775
33.0	96	372	21.5	12	3	0.77083
34.0	100	380	21.0	12	3	0.75
35.0	50	390	21.4	12	3	0.76667
36.0	0	392	20.5	12	3	0.72917
37.0	0	391	20.9	12	3	0.74583
38.0	0	390	21.0	12	3	0.75
39.0	0	390	21.1	12	3	0.75417
40.0	0	390	21.0	12	3	0.75
41.0	0	390	20.8	12	3	0.74167
42.0	0	390	21.1	12	3	0.75417
43.0	0	392	21.3	12	3	0.7625
44.0	0	390	21.2	12	3	0.75833
45.0	0	392	21.1	12	3	0.75417
46.0	0	391	21.1	12	3	0.75417
47.0	0	393	21.0	12	3	0.75
48.0	50	390	21.5	12	3	0.77083
49.0	90	380	22.0	12	3	0.79167
50.0	98	375	21.8	12	3	0.78333
51.0	103	372	21.7	12	3	0.77917
52.0	100	370	21.6	12	3	0.775
53.0	98	372	21.5	12	3	0.77083
54.0	102	370	21.2	12	3	0.75833
55.0	97	373	21.8	12	3	0.78333
56.0	103	372	21.6	12	3	0.775
57.0	96	372	21.5	12	3	0.77083
58.0	100	380	21.0	12	3	0.75
59.0	50	390	21.4	12	3	0.76667
60.0	0	392	20.5	12	3	0.72917
61.0	0	391	20.9	12	3	0.74583
62.0	0	390	21.0	12	3	0.75
63.0	0	390	21.1	12	3	0.75417
64.0	0	390	21.0	12	3	0.75
65.0	0	390	20.8	12	3	0.74167
66.0	0	390	21.1	12	3	0.75417
67.0	0	392	21.3	12	3	0.7625
68.0	0	390	21.2	12	3	0.75833
69.0	0	392	21.1	12	3	0.75417
70.0	0	391	21.1	12	3	0.75417
71.0	0	393	21.0	12	3	0.75
72.0	50	390	21.5	12	3	0.77083
73.0	90	380	22.0	12	3	0.79167
74.0	98	375	21.8	12	3	0.78333
75.0	103	372	21.7	12	3	0.77917
76.0	100	370	21.6	12	3	0.775
77.0	98	372	21.5	12	3	0.77083
78.0	102	370	21.2	12	3	0.75833
79.0	97	373	21.8	12	3	0.78333
80.0	103	372	21.6	12	3	0.775
81.0	96	372	21.5	12	3	0.77083
82.0	100	380	21.0	12	3	0.75
83.0	50	390	21.4	12	3	0.76667
84.0	0	392	20.5	12	3	0.72917
85.0	0	391	20.9	12	3	0.74583
86.0	0	390	21.0	12	3	0.75
87.0	0	390	21.1	12	3	0.75417
88.0	0	390	21.0	12	3	0.75
89.0	0	390	20.8	12	3	0.74167
90.0	0	390	21.1	12	3	0.75417
91.0	0	392	21.3	12	3	0.7625
92.0	0	390	21.2	12	3	0.75833
93.0	0	392	21.1	12	3	0.75417
94.0	0	391	21.1	12	3	0.75417
95.0	0	393	21.0	12	3	0.75
96.0	50	390	21.5	12	3	0.77083
97.0	90	380	22.0	12	3	0.79167
98.0	98	375	21.8	12	3	0.78333
99.0	103	372	21.7	12	3	0.77917
100.0	100	370	21.6	12	3	0.775
101.0	98	372	21.5	12	3	0.77083
102.0	102	370	21.2	12	3	0.75833
103.0	97	373	21.8	12	3	0.78333
104.0	103	372	21.6	12	3	0.775
105.0	96	372	21.5	12	3	0.77083
106.0	100	380	21.0	12	3	0.75
107.0	50	390	21.4	12	3	0.76667
108.0	0	392	20.5	12	3	0.72917
109.0	0	391	20.9	12	3	0.74583
110.0	0	390	21.0	12	3	0.75
111.0	0	390	21.1	12	3	0.75417
112.0	0	390	21.0	12	3	0.75
113.0	0	390	20.8	12	3	0.74167
114.0	0	390	21.1	12	3	0.75417
115.0	0	392	21.3	12	3	0.7625
116.0	0	390	21.2	12	3	0.75833
117.0	0	392	21.1	12	3	0.75417
118.0	0	391	21.1	12	3	0.75417
119.0	0	393	21.0	12	3	0.75
120.0	50	390	21.5	12	3	0.77083
121.0	90	380	22.0	12	3	0.79167
122.0	98	375	21.8	12	3	0.78333
123.0	103	372	21.7	12	3	0.77917
124.0	100	370	21.6	12	3	0.775
125.0	98	372	21.5	12	3	0.77083
126.0	102	370	21.2	12	3	0.75833
127.0	97	373	21.8	12	3	0.78333
128.0	103	372	21.6	12	3	0.775
129.0	96	372	21.5	12	3	0.77083
130.0	100	380	21.0	12	3	0.75
131.0	50	390	21.4	12	3	0.76667
132.0	0	392	20.5	12	3	0.72917
133.0	0	391	20.9	12	3	0.74583
134.0	0	390	21.0	12	3	0.75
135.0	0	390	21.1	12	3	0.75417
136.0	0	390	21.0	12	3	0.75
137.0	0	390	20.8	12	3	0.74167
138.0	0	390	21.1	12	3	0.75417
139.0	0	392	21.3	12	3	0.7625
140.0	0	390	21.2	12	3	0.75833
141.0	0	392	21.1	12	3	0.75417
142.0	0	391	21.1	12	3	0.75417
143.0	0	393	21.0	12	3	0.75
144.0	50	390	21.5	12	3	0.77083
145.0	90	380	22.0	12	3	0.79167
146.0	98	375	21.8	12	3	0.78333
147.0	103	372	21.7	12	3	0.77917
148.0	100	370	21.6	12	3	0.775
149.0	98	372	21.5	12	3	0.77083
150.0	102	370	21.2	12	3	0.75833
151.0	97	373	21.8	12	3	0.78333
152.0	103	372	21.6	12	3	0.775
153.0	96	372	21.5	12	3	0.77083
154.0	100	380	21.0	12	3	0.75
155.0	50	390	21.4	12	3	0.76667
156.0	0	392	20.5	12	3	0.72917
157.0	0	391	20.9	12	3	0.74583
158.0	0	390	21.0	12	3	0.75
159.0	0	390	21.1	12	3	0.75417
160.0	0	390	21.0	12	3	0.75
161.0	0	390	20.8	12	3	0.74167
162.0	0	390	21.1	12	3	0.75417
163.0	0	392	21.3	12	3	0.7625
164.0	0	390	21.2	12	3	0.75833
165.0	0	392	21.1	12	3	0.75417
166.0	0	391	21.1	12	3	0.75417
167.0	0	393	21.0	12	3	0.75
168.0	50	390	21.5	12	3	0.77083
169.0	90	380	22.0	12	3	0.79167
170.0	98	375	21.8	12	3	0.78333
171.0	103	372	21.7	12	3	0.77917
172.0	100	370	21.6	12	3	0.775
173.0	98	372	21.5	12	3	0.77083
174.0	102	370	21.2	12	3	0.75833
175.0	97	373	21.8	12	3	0.78333
176.0	103	372	21.6	12	3	0.775
177.0	96	372	21.5	12	3	0.77083
178.0	100	380	21.0	12	3	0.75
179.0	50	390	21.4	12	3	0.76667
180.0	0	392	20.5	12	3	0.72917
181.0	0	391	20.9	12	3	0.74583
182.0	0	390	21.0	12	3	0.75
183.0	0	390	21.1	12	3	0.75417
184.0	0	390	21.0	12	3	0.75
185.0	0	390	20.8	12	3	0.74167
186.0	0	390	21.1	12	3	0.75417
187.0	0	392	21.3	12	3	0.7625
188.0	0	390	21.2	12	3	0.75833
189.0	0	392	21.1	12	3	0.75417
190.0	0	391	21.1	12	3	0.75417
191.0	0	393	21.0	12	3	0.75
192.0	50	390	21.5	12	3	0.77083
193.0	90	380	22.0	12	3	0.79167
194.0	98	375	21.8	12	3	0.78333
195.0	103	372	21.7	12	3	0.77917
196.0	100	370	21.6	12	3	0.775
197.0	98	372	21.5	12	3	0.77083
198.0	102	370	21.2	12	3	0.75833
199.0	97	373	21.8	12	3	0.78333
200.0	103	372	21.6	12	3	0.775
201.0	96	372	21.5	12	3	0.77083
202.0	100	380	21.0	12	3	0.75
203.0	50	390	21.4	12	3	0.76667
204.0	0	392	20.5	12	3	0.72917
205.0	0	391	20.9	12	3	0.74583
206.0	0	390	21.0	12	3	0.75
207.0	0	390	21.1	12	3	0.75417
208.0	0	390	21.0	12	3	0.75
209.0	0	390	20.8	12	3	0.74167
210.0	0	390	21.1	12	3	0.75417
211.0	0	392	21.3	12	3	0.7625
212.0	0	390	21.2	12	3	0.75833
213.0	0	392	21.1	12	3	0.75417
214.0	0	391	21.1	12	3	0.75417
215.0	0	393	21.0	12	3	0.75
216.0	50	390	21.5	12	3	0.77083
217.0	90	380	22.0	12	3	0.79167
218.0	98	375	21.8	12	3	0.78333
219.0	103	372	21.7	12	3	0.77917
220.0	100	370	21.6	12	3	0.775
221.0	98	372	21.5	12	3	0.77083
222.0	102	370	21.2	12	3	0.75833
223.0	97	373	21.8	12	3	0.78333
224.0	103	372	21.6	12	3	0.775
225.0	96	372	21.5	12	3	0.77083
226.0	100	380	21.0	12	3	0.75
227.0	50	390	21.4	12	3	0.76667
228.0	0	392	20.5	12	3	0.72917
229.0	0	391	20.9	12	3	0.74583
230.0	0	390	21.0	12	3	0.75
231.0	0	390	21.1	12	3	0.75417
232.0	0	390	21.0	12	3	0.75
233.0	0	390	20.8	12	3	0.74167
234.0	0	390	21.1	12	3	0.75417
235.0	0	392	21.3	12	3	0.7625
236.0	0	390	21.2	12	3	0.75833
237.0	0	392	21.1	12	3	0.75417
238.0	0	391	21.1	12	3	0.75417
239.0	0	393	21.0	12	3	0.75
240.0	50	390	21.5	12	3	0.77083
241.0	90	380	22.0	12	3	0.79167
242.0	98	375	21.8	12	3	0.78333
243.0	103	372	21.7	12	3	0.77917
244.0	100	370	21.6	12	3	0.775
245.0	98	372	21.5	12	3	0.77083
246.0	102	370	21.2	12	3	0.75833
247.0	97	373	21.8	12	3	0.78333
248.0	103	372	21.6	12	3	0.775
249.0	96	372	21.5	12	3	0.77083
250.0	100	380	21.0	12	3	0.75
251.0	50	390	21.4	12	3	0.76667
252.0	0	392	20.5	12	3	0.72917
253.0	0	391	20.9	12	3	0.74583
254.0	0	390	21.0	12	3	0.75
255.0	0	390	21.1	12	3	0.75417
256.0	0	390	21.0	12	3	0.75
257.0	0	390	20.8	12	3	0.74167
258.0	0	390	21.1	12	3	0.75417
259.0	0	392	21.3	12	3	0.7625
260.0	0	390	21.2	12	3	0.75833
261.0	0	392	21.1	12	3	0.75417
262.0	0	391	21.1	12	3	0.75417
263.0	0	393	21.0	12	3	0.75
264.0	50	390	21.5	12	3	0.77083
265.0	90	380	22.0	12	3	0.79167
266.0	98	375	21.8	12	3	0.78333
267.0	103	372	21.7	12	3	0.77917
268.0	100	370	21.6	12	3	0.775
269.0	98	372	21.5	12	3	0.77083
270.0	102	370	21.2	12	3	0.75833
271.0	97	373	21.8	12	3	0.78333
272.0	103	372	21.6	12	3	0.775
273.0	96	372	21.5	12	3	0.77083
274.0	100	380	21.0	12	3	0.75
275.0	50	390	21.4	12	3	0.76667
276.0	0	392	20.5	12	3	0.72917
277.0	0	391	20.9	12	3	0.74583
278.0	0	390	21.0	12	3	0.75
279.0	0	390	21.1	12	3	0.75417
280.0	0	390	21.0	12	3	0.75
281.0	0	390	20.8	12	3	0.74167
282.0	0	390	21.1	12	3	0.75417
283.0	0	392	21.3	12	3	0.7625
284.0	0	390	21.2	12	3	0.75833
285.0	0	392	21.1	12	3	0.75417
286.0	0	391	21.1	12	3	0.75417
287.0	0	393	21.0	12	3	0.75
288.0	50	390	21.5	12	3	0.77083
289.0	90	380	22.0	12	3	0.79167
290.0	98	375	21.8	12	3	0.78333
291.0	103	372	21.7	12	3	0.77917
292.0	100	370	21.6	12	3	0.775
293.0	98	372	21.5	12	3	0.77083
294.0	102	370	21.2	12	3	0.75833
295.0	97	373	21.8	12	3	0.78333
296.0	103	372	21.6	12	3	0.775
297.0	96	372	21.5	12	3	0.77083
298.0	100	380	21.0	12	3	0.75
299.0	50	390	21.4	12	3	0.76667
300.0	0	392	20.5	12	3	0.72917
301.0	0	391	20.9	12	3	0.74583
302.0	0	390	21.0	12	3	0.75
303.0	0	390	21.1	12	3	0.75417
304.0	0	390	21.0	12	3	0.75
305.0	0	390	20.8	12	3	0.74167
306.0	0	390	21.1	12	3	0.75417
307.0	0	392	21.3	12	3	0.7625
308.0	0	390	21.2	12	3	0.75833
309.0	0	392	21.1	12	3	0.75417
310.0	0	391	21.1	12	3	0.75417
311.0	0	393	21.0	12	3	0.75
312.0	50	390	21.5	12	3	0.77083
313.0	90	380	22.0	12	3	0.79167
314.0	98	375	21.8	12	3	0.78333
315.0	103	372	21.7	12	3	0.77917
316.0	100	370	21.6	12	3	0.775
317.0	98	372	21.5	12	3	0.77083
318.0	102	370	21.2	12	3	0.75833
319.0	97	373	21.8	12	3	0.78333
320.0	103	372	21.6	12	3	0.775
321.0	96	372	21.5	12	3	0.77083
322.0	100	380	21.0	12	3	0.75
323.0	50	390	21.4	12	3	0.76667
324.0	0	392	20.5	12	3	0.72917
325.0	0	391	20.9	12	3	0.74583
326.0	0	390	21.0	12	3	0.75
327.0	0	390	21.1	12	3	0.75417
328.0	0	390	21.0	12	3	0.75
329.0	0	390	20.8	12	3	0.74167
330.0	0	390	21.1	12	3	0.75417
331.0	0	392	21.3	12	3	0.7625
332.0	0	390	21.2	12	3	0.75833
333.0	0	392	21.1	12	3	0.75417
334.0	0	391	21.1	12	3	0.75417
335.0	0	393	21.0	12	3	0.75
336.0	50	390	21.5	12	3	0.77083
337.0	90	380	22.0	12	3	0.79167
338.0	98	375	21.8	12	3	0.78333
339.0	103	372	21.7	12	3	0.77917
340.0	100	370	21.6	12	3	0.775
341.0	98	372	21.5	12	3	0.77083
342.0	102	370	21.2	12	3	0.75833
343.0	97	373	21.8	12	3	0.78333
344.0	103	372	21.6	12	3	0.775
345.0	96	372	21.5	12	3	0.77083
346.0	100	380	21.0	12	3	0.75
347.0	50	390	21.4	12	3	0.76667
348.0	0	392	20.5	12	3	0.72917
349.0	0	391	20.9	12	3	0.74583
350.0	0	390	21.0	12	3	0.75
351.0	0	390	21.1	12	3	0.75417
352.0	0	390	21.0	12	3	0.75
353.0	0	390	20.8	12	3	0.74167
354.0	0	390	21.1	12	3	0.75417
355.0	0	392	21.3	12	3	0.7625
356.0	0	390	21.2	12	3	0.75833
357.0	0	392	21.1	12	3	0.75417
358.0	0	391	21.1	12	3	0.75417
359.0	0	393	21.0	12	3	0.75
360.0	50	390	21.5	12	3	0.77083
361.0	90	380	22.0	12	3	0.79167
362.0	98	375	21.8	12	3	0.78333
363.0	103	372	21.7	12	3	0.77917
364.0	100	370	21.6	12	3	0.775
365.0	98	372	21.5	12	3	0.77083
366.0	102	370	21.2	12	3	0.75833
367.0	97	373	21.8	12	3	0.78333
368.0	103	372	21.6	12	3	0.775
369.0	96	372	21.5	12	3	0.77083
370.0	100	380	21.0	12	3	0.75
371.0	50	390	21.4	12	3	0.76667
372.0	0	392	20.5	12	3	0.72917
373.0	0	391	20.9	12	3	0.74583
374.0	0	390	21.0	12	3	0.75
375.0	0	390	21.1	12	3	0.75417
376.0	0	390	21.0	12	3	0.75
377.0	0	390	20.8	12	3	0.74167
378.0	0	390	21.1	12	3	0.75417
379.0	0	392	21.3	12	3	0.7625
380.0	0	390	21.2	12	3	0.75833
381.0	0	392	21.1	12	3	0.75417
382.0	0	391	21.1	12	3	0.75417
383.0	0	393	21.0	12	3	0.75
384.0	50	390	21.5	12	3	0.77083
385.0	90	380	22.0	12	3	0.79167
386.0	98	375	21.8	12	3	0.78333
387.0	103	372	21.7	12	3	0.77917
388.0	100	370	21.6	12	3	0.775
389.0	98	372	21.5	12	3	0.77083
390.0	102	370	21.2	12	3	0.75833
391.0	97	373	21.8	12	3	0.78333
392.0	103	372	21.6	12	3	0.775
393.0	96	372	21.5	12	3	0.77083
394.0	100	380	21.0	12	3	0.75
395.0	50	390	21.4	12	3	0.76667
396.0	0	392	20.5	12	3	0.72917
397.0	0	391	20.9	12	3	0.74583
398.0	0	390	21.0	12	3	0.75
399.0	0	390	21.1	12	3	0.75417
400.0	0	390	21.0	12	3	0.75
401.0	0	390	20.8	12	3	0.74167
402.0	0	390	21.1	12	3	0.75417
